,timestamp,uid,dtype,lat,lon,geometry,acc,tz,class,transform
32965,1589659367,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.615699,-95.284414,POINT (-95.284414 35.615699),17,-18000,OTHER,KEEP
33102,1589659369,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.615697,-95.284418,POINT (-95.284418 35.615697),54,-18000,OTHER,KEEP
33028,1589659371,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.616907,-95.285397,POINT (-95.285397 35.616907),4,-18000,OTHER,KEEP
33018,1589659373,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.617455,-95.285832,POINT (-95.285832 35.617455),4,-18000,OTHER,KEEP
32897,1589659373,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.617725,-95.286047,POINT (-95.286047 35.617725),4,-18000,OTHER,KEEP
32840,1589659375,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.618282,-95.286484,POINT (-95.286484 35.618282),4,-18000,OTHER,KEEP
32841,1589659377,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.618827,-95.286912,POINT (-95.286912 35.618827),4,-18000,OTHER,KEEP
33003,1589659379,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.619365,-95.287333,POINT (-95.287333 35.619365),4,-18000,OTHER,KEEP
32839,1589659381,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.619914,-95.287756,POINT (-95.287756 35.619914),4,-18000,OTHER,KEEP
32951,1589659383,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.620455,-95.288184,POINT (-95.288184 35.620455),4,-18000,OTHER,KEEP
32842,1589659385,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.620989,-95.288608,POINT (-95.288608 35.620989),4,-18000,OTHER,KEEP
32843,1589659387,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.621538,-95.28904,POINT (-95.28904 35.621538),4,-18000,OTHER,KEEP
32952,1589659389,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.622081,-95.289472,POINT (-95.289472 35.622081),4,-18000,OTHER,KEEP
32953,1589659391,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.622619,-95.289905,POINT (-95.289905 35.622619),4,-18000,OTHER,KEEP
33002,1589659393,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.623158,-95.290338,POINT (-95.290338 35.623158),4,-18000,OTHER,KEEP
32954,1589659395,1080fefe3fd3cc26c016b33c44ecd33fe5096d4148a23daa31e1a5e02886deb9,1,35.623703,-95.290763,POINT (-95.290763 35.623703),4,-18000,OTHER,KEEP
